IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio
2460517612; APARTMENT; UNIT; BR; São Paulo; SP; Rua Arizona; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Brooklin; Brooklin; RESIDENTIAL; 74; 74; Comprar; 925000; 2; 1; 2; 1; 690
2483184176; APARTMENT; UNIT; BR; São Paulo; SP; Rua Benta Pereira; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Santana; Santana; RESIDENTIAL; 156; 156; Comprar; 1600000; 3; 3; 5; 3; 1300
2463921919; PENTHOUSE; UNIT; BR; São Paulo; SP; Avenida Doutor Cândido Motta Filho; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Cidade Sao Francisco; Cidade São Francisco; RESIDENTIAL; 170; 170; Comprar; 880000; 3; 1; 1; 2; 1220
2496238570; APARTMENT; UNIT; BR; São Paulo; SP; Rua Doutor Afonso Vergueiro; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Maria; Vila Maria; RESIDENTIAL; 63; 63; Comprar; 417113; 1; 1; 2; 3; 498
2462224880; PENTHOUSE; UNIT; BR; São Paulo; SP; Rua Salvador de Edra; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Saude; Saúde; RESIDENTIAL; 99; 99; Comprar; 890000; 2; 1; 3; 2; 990
1038248296; APARTMENT; UNIT; BR; São Paulo; SP; Rua Doutor Alfredo de Castro; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Barra Funda; Barra Funda; RESIDENTIAL; 58; 58; Comprar; 615000; 1; 1; 1; 3; 500
2496663532; APARTMENT; UNIT; BR; São Paulo; SP; Rua José da Silva Ribeiro; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>VILA ANDRADE; Vila Andrade; RESIDENTIAL; 128; 128; Comprar; 985000; 2; 1; 4; 3; 1200
2491111579; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Francisco Bellazzi; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jaragua; Jaragua; RESIDENTIAL; 80; 80; Comprar; 240000; 1; 0; 1; 2; 350
2477856298; APARTMENT; UNIT; BR; São Paulo; SP; Rua Pio XI; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Alto de Pinheiros; Alto de Pinheiros; RESIDENTIAL; 83; 83; Comprar; 1095000; 1; 1; 3; 2; 800
2495070538; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Norma; Jardim Norma; RESIDENTIAL; 52; 52; Comprar; 212000; 1; 0; 1; 2; 329
