Bairro; Zona; LocationID; Latitude; Longitude; Url
Vila Albertina; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Albertina; -23,502188; -46,691059; /venda/imoveis/sp+sao-paulo+zona-norte+vl-albertina/
Vila Paulistana; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Paulistana; -23,451374; -46,592133; /venda/imoveis/sp+sao-paulo+zona-norte+vl-paulistana/
Cachoeira; ; BR>Parana>NULL>Curitiba>Barrios>Cachoeira; -25,369036; -49,236496; /venda/imoveis/pr+curitiba++cachoeira/
Jardim Barro Branco; ; BR>Sao Paulo>NULL>Cotia>Barrios>Jardim Barro Branco; -23,6071099; -46,8919243; /venda/imoveis/sp+cotia++jd-barro-branco/
Jardim Entre Serras; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Entre Serras; -23,456911; -46,616676; /venda/imoveis/sp+sao-paulo+zona-norte+jd-entre-serras/
Jardim França; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Franca; -23,476373; -46,616243; /venda/imoveis/sp+sao-paulo+zona-norte+jd-franca/
Jardim Kherlakian; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Kherlakian; -23,473904; -46,610817; /venda/imoveis/sp+sao-paulo+zona-norte+jd-kherlakian/
Parada Inglesa; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Parada Inglesa; -23,488882; -46,604187; /venda/imoveis/sp+sao-paulo+zona-norte+parada-inglesa/
Parque Rodrigues Alves; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Parque Rodrigues Alves; -23,488794; -46,598762; /venda/imoveis/sp+sao-paulo+zona-norte+pq-rodrigues-alves/
Parque Vitória; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Parque Vitoria; -23,471259; -46,594544; /venda/imoveis/sp+sao-paulo+zona-norte+pq-vitoria/
Tucuruvi; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Tucuruvi; -23,475695; -46,603057; /venda/imoveis/sp+sao-paulo+zona-norte+tucuruvi/
Vila Dom Pedro II; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Dom Pedro II; -23,488882; -46,604187; /venda/imoveis/sp+sao-paulo+zona-norte+vl-d-pedro-ii/
Vila Gustavo; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Gustavo; -23,485985; -46,60838; /venda/imoveis/sp+sao-paulo+zona-norte+vl-gustavo/
Vila Mazzei; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Mazzei; -23,475695; -46,603057; /venda/imoveis/sp+sao-paulo+zona-norte+vl-mazzei/
Vila Nivi; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Nivi; -23,477571; -46,592133; /venda/imoveis/sp+sao-paulo+zona-norte+vl-nivi/
Vila Pedrosa; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Pedrosa; -23,482471; -46,597484; /venda/imoveis/sp+sao-paulo+zona-norte+vl-pedrosa/
Vila Porto; ; BR>Sao Paulo>NULL>Barueri>Barrios>Vila Porto; -23,5000297; -46,8670753; /venda/imoveis/sp+barueri++vl-porto/
Vila Andrade; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>VILA ANDRADE; -23,631509; -46,736743; /venda/imoveis/sp+sao-paulo+zona-sul+vl-andrade/
Panamby; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Panamby; -23,631509; -46,736743; /venda/imoveis/sp+sao-paulo+zona-sul+panamby/
Paraisópolis; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Paraisopolis; -23,614623; -46,726256; /venda/imoveis/sp+sao-paulo+zona-sul+paraisopolis/
Vila Curuçá; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Curuca; -23,509702; -46,416739; /venda/imoveis/sp+sao-paulo+zona-leste+vl-curuca/
Jardim Nazareth; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Nazareth; -20,782024; -49,363263; /venda/imoveis/sp+sao-jose-do-rio-preto++jd-nazareth/
Jardim Rosina; ; BR>Sao Paulo>NULL>Maua>Barrios>Jardim Rosina; -23,661254; -46,461538; /venda/imoveis/sp+maua++jd-rosina/
Jardim Senice; Centro; BR>Sao Paulo>NULL>Sao Paulo>Centro>Jardim Senice; -23,516428; -46,409277; /venda/imoveis/sp+sao-paulo+centro+jd-senice/
Vila Conceição; ; BR>Rio Grande do Sul>NULL>Porto Alegre>Barrios>Vila Conceicao; -30,120531; -51,256636; /venda/imoveis/rs+porto-alegre++vl-conceicao/
Vila Formosa; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Formosa; -23,567186; -46,543792; /venda/imoveis/sp+sao-paulo+zona-leste+vl-formosa/
Chácara Belenzinho; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara Belenzinho; -23,576151; -46,535824; /venda/imoveis/sp+sao-paulo+zona-leste+ch-belenzinho/
Jardim Anália Franco; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Analia Franco; -23,5603; -46,566217; /venda/imoveis/sp+sao-paulo+zona-leste+jd-analia-franco/
Jardim Iara; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Iara; -23,4553244; -46,604943; /venda/imoveis/sp+sao-paulo+zona-norte+jd-iara/
Jardim Têxtil; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Textil; -23,55734; -46,545754; /venda/imoveis/sp+sao-paulo+zona-leste+jd-textil/
Parque Cruzeiro do Sul; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Parque Cruzeiro do Sul; -23,4944; -46,462139; /venda/imoveis/sp+sao-paulo+zona-leste+pq-cruzeiro-do-sul/
Vila Antonina; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Antonina; -23,554432; -46,549592; /venda/imoveis/sp+sao-paulo+zona-leste+vl-antonina/
Vila Cruzeiro; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Cruzeiro; -23,642172; -46,711732; /venda/imoveis/sp+sao-paulo+zona-sul+vl-cruzeiro/
Vila Mafra; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Mafra; -23,560139; -46,546958; /venda/imoveis/sp+sao-paulo+zona-leste+vl-mafra/
Vila Olinda; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Olinda; -23,576399; -46,535308; /venda/imoveis/sp+sao-paulo+zona-leste+vl-olinda/
Vila Guilherme; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Guilherme; -23,514403; -46,607448; /venda/imoveis/sp+sao-paulo+zona-norte+vl-guilherme/
Carandiru; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Carandiru; -23,503722; -46,615177; /venda/imoveis/sp+sao-paulo+zona-norte+carandiru/
Jardim Sara; ; BR>Sao Paulo>NULL>Ferraz de Vasconcelos>Barrios>Jardim Sara; -23,553178; -46,363068; /venda/imoveis/sp+ferraz-de-vasconcelos++jd-sara/
Vila Isolina Mazzei; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Isolina Mazzei; -23,496898; -46,602011; /venda/imoveis/sp+sao-paulo+zona-norte+vl-isolina-mazzei/
Vila Leonor; ; BR>Sao Paulo>NULL>Guarulhos>Barrios>Vila Leonor; -23,480722; -46,542743; /venda/imoveis/sp+guarulhos++vl-leonor/
Vila Paiva; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Paiva; -23,50234; -46,601776; /venda/imoveis/sp+sao-paulo+zona-norte+vl-paiva/
Vila Jacuí; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Jacui; -23,515285; -46,441633; /venda/imoveis/sp+sao-paulo+zona-leste+vl-jacui/
Jardim Pedro José Nunes; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Pedro Jose Nunes; -23,5056426; -46,46676919999999; /venda/imoveis/sp+sao-paulo+zona-leste+jd-pedro-jose-nunes/
Jardim Ruth; ; BR>Sao Paulo>NULL>Itapevi>Barrios>Jardim Ruth; -23,5399981; -46,9926574; /venda/imoveis/sp+itapevi++jd-ruth/
Vila Leopoldina; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Leopoldina; -23,53243; -46,733589; /venda/imoveis/sp+sao-paulo+zona-oeste+vl-leopoldina/
Jardim Humaitá; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Humaita; -23,522084; -46,743618; /venda/imoveis/sp+sao-paulo+zona-oeste+jd-humaita/
Vila Maria; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Maria; -23,517559; -46,589088; /venda/imoveis/sp+sao-paulo+zona-norte+vl-maria/
Jardim Andaraí; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Andarai; -23,519258; -46,578016; /venda/imoveis/sp+sao-paulo+zona-norte+jd-andarai/
Jardim Japão; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Japao; -23,501857; -46,57671; /venda/imoveis/sp+sao-paulo+zona-norte+jd-japao/
Parque Novo Mundo; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Parque Novo Mundo; -23,517397; -46,567929; /venda/imoveis/sp+sao-paulo+zona-norte+pq-nv-mundo/
Parque Vila Maria; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Parque Vila Maria; -23,5201958; -46,5776724; /venda/imoveis/sp+sao-paulo+zona-norte+pq-vl-maria/
Vila Maria Alta; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Maria Alta; -23,501613; -46,597334; /venda/imoveis/sp+sao-paulo+zona-norte+vl-maria-alta/
Vila Mariana; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Mariana; -23,589702; -46,634638; /venda/imoveis/sp+sao-paulo+zona-sul+vl-mariana/
Chácara Klabin; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Chacara Klabin; -23,591682; -46,625891; /venda/imoveis/sp+sao-paulo+zona-sul+ch-klabin/
Jardim Aurélia; ; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Aurelia; -22,901033; -47,089666; /venda/imoveis/sp+campinas++jd-aurelia/
Jardim da Glória; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim da Gloria; -23,580103; -46,621606; /venda/imoveis/sp+sao-paulo+zona-sul+jd-da-gloria/
Jardim Lutfalla; ; BR>Sao Paulo>NULL>Sao Carlos>Barrios>Jardim Lutfalla; -22,005228; -47,893384; /venda/imoveis/sp+sao-carlos++jd-lutfalla/
Paraíso; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Paraiso; -23,589702; -46,634638; /venda/imoveis/sp+sao-paulo+zona-sul+paraiso/
Vila Clementino; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Clementino; -23,598316; -46,643963; /venda/imoveis/sp+sao-paulo+zona-sul+vl-clementino/
Vila Matilde; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Matilde; -23,537721; -46,525646; /venda/imoveis/sp+sao-paulo+zona-leste+vl-matilde/
Chácara Seis de Outubro; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara Seis de Outubro; -23,533703; -46,53251; /venda/imoveis/sp+sao-paulo+zona-leste+ch-seis-de-outubro/
Cidade Patriarca; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Patriarca; -23,545991; -46,509644; /venda/imoveis/sp+sao-paulo+zona-leste+cid-patriarca/
Jardim Maringá; ; BR>Sao Paulo>NULL>Sao Jose dos Campos>Barrios>Jardim Maringa; -23,206944; -45,895818; /venda/imoveis/sp+sao-jose-dos-campos++jd-maringa/
Jardim Samara; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Samara; -23,630215; -46,766592; /venda/imoveis/sp+sao-paulo+zona-sul+jd-samara/
Jardim Triana; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Triana; -23,5379845; -46,5054327; /venda/imoveis/sp+sao-paulo+zona-leste+jd-triana/
Vila Aricanduva; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Aricanduva; -23,53619; -46,539876; /venda/imoveis/sp+sao-paulo+zona-leste+vl-aricanduva/
Vila Dalila; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Dalila; -23,547759; -46,519872; /venda/imoveis/sp+sao-paulo+zona-leste+vl-dalila/
Vila Guilhermina; ; BR>Sao Paulo>NULL>Praia Grande>Barrios>Vila Guilhermina; -24,007379; -46,422697; /venda/imoveis/sp+praia-grande++vl-guilhermina/
Vila Nova Savoia; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Nova Savoia; -23,5421638; -46,5174654; /venda/imoveis/sp+sao-paulo+zona-leste+vl-nv-savoia/
Vila Talarico; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Talarico; -23,545991; -46,509644; /venda/imoveis/sp+sao-paulo+zona-leste+vl-talarico/
Vila Medeiros; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Medeiros; -23,494242; -46,592133; /venda/imoveis/sp+sao-paulo+zona-norte+vl-medeiros/
Jardim Neila; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Neila; -23,483451; -46,587614; /venda/imoveis/sp+sao-paulo+zona-norte+jd-neila/
Vila Ede; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Ede; -23,489255; -46,584522; /venda/imoveis/sp+sao-paulo+zona-norte+vl-ede/
Vila Elisa; ; BR>Sao Paulo>NULL>Ribeirao Preto>Barrios>Vila Elisa; -21,133723; -47,787189; /venda/imoveis/sp+ribeirao-preto++vl-elisa/
Vila Munhoz; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Munhoz; -23,4892554; -46,5845224; /venda/imoveis/sp+sao-paulo+zona-norte+vl-munhoz/
Vila Sabrina; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Sabrina; -23,484558; -46,567377; /venda/imoveis/sp+sao-paulo+zona-norte+vl-sabrina/
Jardim Julieta; ; BR>Sao Paulo>NULL>Taubate>Barrios>Jardim Julieta; -23,0524448; -45,5561556; /venda/imoveis/sp+taubate++jd-julieta/
Vila Prudente; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Prudente; -23,579014; -46,579756; /venda/imoveis/sp+sao-paulo+zona-leste+vl-prudente/
Jardim Avelino; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Avelino; -23,588286; -46,568034; /venda/imoveis/sp+sao-paulo+zona-leste+jd-avelino/
Parque da Vila Prudente; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Parque da Vila Prudente; -23,589722; -46,576346; /venda/imoveis/sp+sao-paulo+zona-leste+pq-da-vl-prudente/
Quinta da Paineira; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Quinta da Paineira; -23,587833; -46,587312; /venda/imoveis/sp+sao-paulo+zona-leste+quinta-da-paineira/
