Bairro; Zona; LocationID; Latitude; Longitude; Url
Água Rasa; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Agua Rasa; -23,5603; -46,566217; /venda/imoveis/sp+sao-paulo+zona-leste+agua-rasa/
Alto da Mooca; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Alto da Mooca; -23,564019; -46,587312; /venda/imoveis/sp+sao-paulo+zona-leste+alto-da-mooca/
Chácara Mafalda; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara Mafalda; -23,572201; -46,55599; /venda/imoveis/sp+sao-paulo+zona-leste+ch-mafalda/
Chácara Paraíso; ; BR>Sao Paulo>NULL>Itu>Barrios>Chacara Paraiso; -23,263999; -47,299673; /venda/imoveis/sp+itu++ch-paraiso/
Jardim Guanabara; Ilha do Governador; BR>Rio de Janeiro>NULL>Rio de Janeiro>Ilha do Governador>Jardim Guanabara; -22,808059; -43,20725; /venda/imoveis/rj+rio-de-janeiro+ilha-do-governador+jd-guanabara/
Jardim Itália; ; BR>Mato Grosso>NULL>Cuiaba>Barrios>Jardim Italia; -15,597132; -56,061236; /venda/imoveis/mt+cuiaba++jd-italia/
Jardim Silveira; ; BR>Sao Paulo>NULL>Barueri>Barrios>Jardim Silveira; -23,511567; -46,874382; /venda/imoveis/sp+barueri++jd-silveira/
Vila Bertioga; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Bertioga; -23,561937; -46,57972; /venda/imoveis/sp+sao-paulo+zona-leste+vl-bertioga/
Vila Celeste; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Celeste; -23,574387; -46,567432; /venda/imoveis/sp+sao-paulo+zona-leste+vl-celeste/
Vila Cláudia; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Claudia; -23,559979; -46,586946; /venda/imoveis/sp+sao-paulo+zona-leste+vl-claudia/
Vila Clotilde; ; BR>Sao Paulo>NULL>Guarulhos>Barrios>Vila Clotilde; -23,499246; -46,556464; /venda/imoveis/sp+guarulhos++vl-clotilde/
Vila Diva; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Diva; -23,572201; -46,55599; /venda/imoveis/sp+sao-paulo+zona-leste+vl-diva/
Vila Graciosa; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Graciosa; -23,584811; -46,551172; /venda/imoveis/sp+sao-paulo+zona-leste+vl-graciosa/
Vila Invernada; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Invernada; -23,567567; -46,563216; /venda/imoveis/sp+sao-paulo+zona-leste+vl-invernada/
Vila Libanesa; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Libanesa; -23,507086; -46,507237; /venda/imoveis/sp+sao-paulo+zona-leste+vl-libanesa/
Vila Oratório; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Oratorio; -23,571005; -46,578275; /venda/imoveis/sp+sao-paulo+zona-leste+vl-oratorio/
Vila Paulina; ; BR>Sao Paulo>NULL>Tatui>Barrios>Vila Paulina; -23,359465; -47,871757; /venda/imoveis/sp+tatui++vl-paulina/
Vila Regente Feijó; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Regente Feijo; -23,5603; -46,566217; /venda/imoveis/sp+sao-paulo+zona-leste+vl-regente-feijo/
Vila Rio Branco; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Rio Branco; -23,510851; -46,495809; /venda/imoveis/sp+sao-paulo+zona-leste+vl-rio-branco/
Vila Santa Clara; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Clara; -23,578545; -46,56279; /venda/imoveis/sp+sao-paulo+zona-leste+vl-sta-clara/
Alto de Pinheiros; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Alto de Pinheiros; -23,541631; -46,722467; /venda/imoveis/sp+sao-paulo+zona-oeste+alto-de-pinheiros/
Boaçava; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Boacava; -23,544131; -46,729718; /venda/imoveis/sp+sao-paulo+zona-oeste+boacava/
Jardim Atibaia; ; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Atibaia; -22,883223; -46,965331; /venda/imoveis/sp+campinas++jd-atibaia/
Jardim Califórnia; ; BR>Sao Paulo>NULL>Jacarei>Barrios>Jardim California; -23,276404; -45,944985; /venda/imoveis/sp+jacarei++jd-california/
Vila Beatriz; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Beatriz; -23,52698; -46,533714; /venda/imoveis/sp+sao-paulo+zona-leste+vl-beatriz/
Vila Ida; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Ida; -23,53985; -46,710385; /venda/imoveis/sp+sao-paulo+zona-oeste+vl-ida/
Vila Madalena; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Madalena; -23,551437; -46,697566; /venda/imoveis/sp+sao-paulo+zona-oeste+vl-madalena/
Vila Nogueira; ; BR>Sao Paulo>NULL>Campinas>Barrios>Vila Nogueira; -22,86774; -47,039898; /venda/imoveis/sp+campinas++vl-nogueira/
Anhanguera; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Anhanguera; -23,479116; -46,741805; /venda/imoveis/sp+sao-paulo+zona-norte+anhanguera/
Jardim Anhangüera; ; BR>Sao Paulo>NULL>Jundiai>Barrios>Jardim Anhanguera; -23,205731; -46,897381; /venda/imoveis/sp+jundiai++jd-anhanguera/
Jardim Britânia; ; BR>Sao Paulo>NULL>Caraguatatuba>Barrios>Jardim Britania; -23,664953; -45,433331; /venda/imoveis/sp+caraguatatuba++jd-britania/
Jardim Escócia; ; BR>Sao Paulo>NULL>Aracoiaba da Serra>Barrios>Jardim Escocia; -23,513321; -47,572366; /venda/imoveis/sp+aracoiaba-da-serra++jd-escocia/
Jardim Jaraguá; ; BR>Sao Paulo>NULL>Taubate>Barrios>Jardim Jaragua; -23,004632; -45,548193; /venda/imoveis/sp+taubate++jd-jaragua/
Morro Doce; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Morro Doce; -23,440612; -46,794868; /venda/imoveis/sp+sao-paulo+zona-oeste+morro-doce/
Aricanduva; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Aricanduva; -23,573873; -46,527395; /venda/imoveis/sp+sao-paulo+zona-leste+aricanduva/
Jardim Catarina; ; BR>Rio de Janeiro>NULL>Sao Goncalo>Barrios>Jardim Catarina; -22,792167; -42,999798; /venda/imoveis/rj+sao-goncalo++jd-catarina/
Jardim Cotching; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Cotching; -23,572136; -46,530103; /venda/imoveis/sp+sao-paulo+zona-leste+jd-cotching/
Jardim das Rosas; ; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; -23,29325; -47,300944; /venda/imoveis/sp+itu++jd-das-rosas/
Jardim Nice; ; BR>Sao Paulo>NULL>Itatiba>Barrios>Jardim Nice; -23,001942; -46,839513; /venda/imoveis/sp+itatiba++jd-nice/
Jardim Tango; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Tango; -23,580689; -46,520474; /venda/imoveis/sp+sao-paulo+zona-leste+jd-tango/
Jardim Vila Formosa; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Vila Formosa; -23,566891; -46,522791; /venda/imoveis/sp+sao-paulo+zona-leste+jd-vl-formosa/
Vila Antonieta; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Antonieta; -23,571913; -46,513777; /venda/imoveis/sp+sao-paulo+zona-leste+vl-antonieta/
Artur Alvim; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Artur Alvim; -23,525704; -46,483781; /venda/imoveis/sp+sao-paulo+zona-leste+artur-alvim/
Conjunto Habitacional Padre José de Anchieta; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Conjunto Habitacional Padre Jose de Anchieta; -23,5503099; -46,4817577; /venda/imoveis/sp+sao-paulo+zona-leste+conj-hab-padre-jose-de-anchieta/
Jardim Brasil; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Brasil; -23,484558; -46,567377; /venda/imoveis/sp+sao-paulo+zona-norte+jd-brasil/
Jardim Coimbra; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Coimbra; -23,530461; -46,483781; /venda/imoveis/sp+sao-paulo+zona-leste+jd-coimbra/
Jardim Marina; ; BR>Sao Paulo>NULL>Mongagua>Barrios>Jardim Marina; -24,098758; -46,626494; /venda/imoveis/sp+mongagua++jd-marina/
Jardim Nordeste; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Nordeste; -23,530461; -46,483781; /venda/imoveis/sp+sao-paulo+zona-leste+jd-nordeste/
Jardim Olímpia; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Olimpia; -23,588223; -46,752081; /venda/imoveis/sp+sao-paulo+zona-sul+jd-olimpia/
Jardim São João; ; BR>Sao Paulo>NULL>Jandira>Barrios>Jardim Sao Joao; -23,559502; -46,904657; /venda/imoveis/sp+jandira++jd-s-joao/
Jardim São José; ; BR>Sao Paulo>NULL>Braganca Paulista>Barrios>Jardim Sao Jose; -22,97927; -46,537928; /venda/imoveis/sp+braganca-paulista++jd-s-jose/
Vila Campanela; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Campanela; -23,538043; -46,464544; /venda/imoveis/sp+sao-paulo+zona-leste+vl-campanela/
Vila Santa Teresa; ; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA SANTA TERESA; -23,672061; -46,526875; /venda/imoveis/sp+santo-andre++vl-sta-teresa/
Barra Funda; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Barra Funda; -23,529192; -46,660999; /venda/imoveis/sp+sao-paulo+zona-oeste+barra-funda/
Água Branca; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Agua Branca; -23,515253; -46,690828; /venda/imoveis/sp+sao-paulo+zona-oeste+agua-branca/
Vila Charlote; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Charlote; -23,580887; -46,553581; /venda/imoveis/sp+sao-paulo+zona-leste+vl-charlote/
Bela Vista; Centro; BR>Sao Paulo>NULL>Sao Paulo>Centro>Bela Vista; -23,555405; -46,645643; /venda/imoveis/sp+sao-paulo+centro+bela-vista/
Belém; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Belem; -23,53689; -46,591617; /venda/imoveis/sp+sao-paulo+zona-leste+belem/
Belenzinho; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Belenzinho; -23,535686; -46,601776; /venda/imoveis/sp+sao-paulo+zona-leste+belenzinho/
Catumbi; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Catumbi; -23,535686; -46,601776; /venda/imoveis/sp+sao-paulo+zona-leste+catumbi/
Quarta Parada; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Quarta Parada; -23,53689; -46,591617; /venda/imoveis/sp+sao-paulo+zona-leste+quarta-parada/
Bom Retiro; Centro; BR>Sao Paulo>NULL>Sao Paulo>Centro>Bom Retiro; -23,52567; -46,640706; /venda/imoveis/sp+sao-paulo+centro+bom-retiro/
Luz; Centro; BR>Sao Paulo>NULL>Sao Paulo>Centro>Luz; -23,653663; -46,706693; /venda/imoveis/sp+sao-paulo+centro+luz/
Ponte Pequena; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Ponte Pequena; -23,525032; -46,629509; /venda/imoveis/sp+sao-paulo+zona-oeste+pte-pequena/
Brasilândia; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Brasilandia; -23,474323; -46,675061; /venda/imoveis/sp+sao-paulo+zona-norte+brasilandia/
Jardim Ana Maria; ; BR>Sao Paulo>NULL>Jundiai>Barrios>Jardim Ana Maria; -23,191413; -46,899199; /venda/imoveis/sp+jundiai++jd-ana-maria/
Jardim Damasceno; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Damasceno; -23,4481939; -46,6875213; /venda/imoveis/sp+sao-paulo+zona-norte+jd-damasceno/
Jardim Elisa Maria; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Elisa Maria; -23,460714; -46,681399; /venda/imoveis/sp+sao-paulo+zona-norte+jd-elisa-maria/
Jardim Guarani; ; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Guarani; -22,911862; -47,035962; /venda/imoveis/sp+campinas++jd-guarani/
Jardim Paraná; ; BR>Parana>NULL>Foz do Iguacu>Barrios>Jardim Parana; -25,516336; -54,585376; /venda/imoveis/pr+foz-do-iguacu++jd-parana/
Jardim Vista Alegre; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Vista Alegre; -20,806817; -49,346284; /venda/imoveis/sp+sao-jose-do-rio-preto++jd-vista-alegre/
Vila Itaberaba; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Itaberaba; -23,463319; -46,69589; /venda/imoveis/sp+sao-paulo+zona-norte+vl-itaberaba/
Vila Penteado; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Penteado; -23,47025; -46,681399; /venda/imoveis/sp+sao-paulo+zona-norte+vl-penteado/
Vila Rica; ; BR>Sao Paulo>NULL>Jundiai>Barrios>Vila Rica; -23,174079; -46,873221; /venda/imoveis/sp+jundiai++vl-rica/
Butantã; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Butanta; -23,578795; -46,759336; /venda/imoveis/sp+sao-paulo+zona-oeste+butanta/
Ferreira; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Ferreira; -23,596009; -46,741805; /venda/imoveis/sp+sao-paulo+zona-oeste+ferreira/
Jardim Bonfiglioli; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Bonfiglioli; -23,580861; -46,739387; /venda/imoveis/sp+sao-paulo+zona-oeste+jd-bonfiglioli/
Jardim Matarazzo; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Matarazzo; -23,487188; -46,472656; /venda/imoveis/sp+sao-paulo+zona-leste+jd-matarazzo/
Jardim Pinheiros; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Pinheiros; -20,827017; -49,4019577; /venda/imoveis/sp+sao-jose-do-rio-preto++jd-pinheiros/
Jardim Rizzo; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Rizzo; -23,572008; -46,732739; /venda/imoveis/sp+sao-paulo+zona-oeste+jd-rizzo/
Vila Gomes; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Gomes; -23,580861; -46,739387; /venda/imoveis/sp+sao-paulo+zona-oeste+vl-gomes/
Vila Indiana; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; -23,57192; -46,727301; /venda/imoveis/sp+sao-paulo+zona-oeste+vl-indiana/
Vila Pirajussara; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Pirajussara; -23,635494; -46,773244; /venda/imoveis/sp+sao-paulo+zona-sul+vl-pirajussara/
Cachoeirinha; ; BR>Minas Gerais>NULL>Belo Horizonte>Barrios>Cachoeirinha; -19,888585; -43,947986; /venda/imoveis/mg+belo-horizonte++cachoeirinha/
Jardim Peri; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Peri; -23,457957; -46,661518; /venda/imoveis/sp+sao-paulo+zona-norte+jd-peri/
Jardim Santa Cruz; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Santa Cruz; -23,641195; -46,596954; /venda/imoveis/sp+sao-paulo+zona-sul+jd-sta-cruz/
Vila Amália; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Amalia; -23,47102; -46,654241; /venda/imoveis/sp+sao-paulo+zona-norte+vl-amalia/
Vila Bela Vista; ; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA BELA VISTA; -23,688299; -46,527094; /venda/imoveis/sp+santo-andre++vl-bela-vista/
Vila Nova Cachoeirinha; Zona Norte; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Nova Cachoeirinha; -23,46695; -46,673552; /venda/imoveis/sp+sao-paulo+zona-norte+vl-nv-cachoeirinha/
Cambuci; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Cambuci; -23,564473; -46,621113; /venda/imoveis/sp+sao-paulo+zona-sul+cambuci/
Campo Belo; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Campo Belo; -23,62203; -46,67202; /venda/imoveis/sp+sao-paulo+zona-sul+campo-belo/
Jardim Aeroporto; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Aeroporto; -23,633657; -46,664499; /venda/imoveis/sp+sao-paulo+zona-sul+jd-aeroporto/
Vila Aeroporto; ; BR>Sao Paulo>NULL>Campinas>Barrios>Vila Aeroporto; -22,971076; -47,122683; /venda/imoveis/sp+campinas++vl-aeroporto/
Vila Canaã; ; BR>Mato Grosso>NULL>Rondonopolis>Barrios>Vila Canaa; -16,476475; -54,641157; /venda/imoveis/mt+rondonopolis++vl-canaa/
Vila Carmem; ; BR>Sao Paulo>NULL>Sao Carlos>Barrios>Vila Carmem; -22,029193; -47,908218; /venda/imoveis/sp+sao-carlos++vl-carmem/
Vila Congonhas; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Congonhas; -23,627629; -46,661799; /venda/imoveis/sp+sao-paulo+zona-sul+vl-congonhas/
Campo Grande; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Campo Grande; -23,679202; -46,678985; /venda/imoveis/sp+sao-paulo+zona-sul+campo-grande/
Jardim Bélgica; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Belgica; -23,660897; -46,700117; /venda/imoveis/sp+sao-paulo+zona-sul+jd-belgica/
Jardim Marajoara; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Marajoara; -23,645725; -46,766592; /venda/imoveis/sp+sao-paulo+zona-sul+jd-marajoara/
Jurubatuba; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jurubatuba; -23,675263; -46,699261; /venda/imoveis/sp+sao-paulo+zona-sul+jurubatuba/
Vila Anhanguera; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Anhanguera; -23,663574; -46,694078; /venda/imoveis/sp+sao-paulo+zona-sul+vl-anhanguera/
Vila Isa; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Isa; -23,670663; -46,690455; /venda/imoveis/sp+sao-paulo+zona-sul+vl-isa/
Vila Sofia; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Sofia; -23,661126; -46,690455; /venda/imoveis/sp+sao-paulo+zona-sul+vl-sofia/
Cangaíba; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cangaiba; -23,508481; -46,542141; /venda/imoveis/sp+sao-paulo+zona-leste+cangaiba/
Engenheiro Goulart; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Engenheiro Goulart; -23,500876; -46,515059; /venda/imoveis/sp+sao-paulo+zona-leste+engenheiro-goulart/
Capão Redondo; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Capao Redondo; -23,657687; -46,768406; /venda/imoveis/sp+sao-paulo+zona-sul+capao-redondo/
Cidade Auxiliadora; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Cidade Auxiliadora; -23,6568508; -46,7659873; /venda/imoveis/sp+sao-paulo+zona-sul+cid-auxiliadora/
Jardim Comercial; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Comercial; -23,674247; -46,783527; /venda/imoveis/sp+sao-paulo+zona-sul+jd-comercial/
Jardim Dom José; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Dom Jose; -23,682841; -46,793804; /venda/imoveis/sp+sao-paulo+zona-sul+jd-d-jose/
Jardim Rosana; ; BR>Sao Paulo>NULL>Guarulhos>Barrios>Jardim Rosana; -23,435016; -46,562012; /venda/imoveis/sp+guarulhos++jd-rosana/
Vila Prel; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Prel; -23,646228; -46,749058; /venda/imoveis/sp+sao-paulo+zona-sul+vl-prel/
Vila Santa Maria; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; -22,727718; -47,340069; /venda/imoveis/sp+americana++vl-sta-maria/
Chácara Califórnia; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara California; -23,537201; -46,551172; /venda/imoveis/sp+sao-paulo+zona-leste+ch-california/
Chácara Santo Antônio; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Chacara Santo Antonio; -23,642172; -46,711732; /venda/imoveis/sp+sao-paulo+zona-sul+ch-sto-antonio/
Vila Carrão; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Carrao; -23,537201; -46,551172; /venda/imoveis/sp+sao-paulo+zona-leste+vl-carrao/
Vila Nova Manchester; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Nova Manchester; -23,54409; -46,536724; /venda/imoveis/sp+sao-paulo+zona-leste+vl-nv-manchester/
Vila Santa Isabel; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Isabel; -23,567186; -46,543792; /venda/imoveis/sp+sao-paulo+zona-leste+vl-sta-isabel/
Cidade Ademar; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Cidade Ademar; -23,6649; -46,656654; /venda/imoveis/sp+sao-paulo+zona-sul+cid-ademar/
Jardim Miriam; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Miriam; -23,652852; -46,671741; /venda/imoveis/sp+sao-paulo+zona-sul+jd-miriam/
Jardim Anchieta; ; BR>Sao Paulo>NULL>Maua>Barrios>Jardim Anchieta; -23,689791; -46,461538; /venda/imoveis/sp+maua++jd-anchieta/
Jardim Cidália; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Cidalia; -23,660326; -46,667516; /venda/imoveis/sp+sao-paulo+zona-sul+jd-cidalia/
Jardim Prudência; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; -23,652852; -46,671741; /venda/imoveis/sp+sao-paulo+zona-sul+jd-prudencia/
Vila Joaniza; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Joaniza; -23,673339; -46,6620849; /venda/imoveis/sp+sao-paulo+zona-sul+vl-joaniza/
Cidade Dutra; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Cidade Dutra; -23,711604; -46,7039; /venda/imoveis/sp+sao-paulo+zona-sul+cid-dutra/
Interlagos; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Interlagos; -23,690445; -46,685625; /venda/imoveis/sp+sao-paulo+zona-sul+interlagos/
Jardim Beatriz; ; BR>Sao Paulo>NULL>Sao Carlos>Barrios>Jardim Beatriz; -22,036004; -47,909781; /venda/imoveis/sp+sao-carlos++jd-beatriz/
Jardim Guanhembu; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Guanhembu; -23,7321944; -46,6836701; /venda/imoveis/sp+sao-paulo+zona-sul+jd-guanhembu/
Jardim Lallo; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Lallo; -23,7130943; -46,6856253; /venda/imoveis/sp+sao-paulo+zona-sul+jd-lallo/
Jardim Orion; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Orion; -23,55052; -46,633309; /venda/imoveis/sp+sao-paulo+zona-sul+jd-orion/
Jardim Panorama; ; BR>Sao Paulo>NULL>Bauru>Barrios>Jardim Panorama; -22,32907; -49,057721; /venda/imoveis/sp+bauru++jd-panorama/
Jardim Presidente; ; BR>Goias>NULL>Goiania>Barrios>Jardim Presidente; -16,735529; -49,337881; /venda/imoveis/go+goiania++jd-presidente/
Jardim Primavera; ; BR>Sao Paulo>NULL>Jacarei>Barrios>Jardim Primavera; -23,284785; -45,950338; /venda/imoveis/sp+jacarei++jd-primavera/
Parque das Árvores; ; BR>Rio Grande do Norte>NULL>Parnamirim>Barrios>Parque das Arvores; -5,906024; -35,220342; /venda/imoveis/rn+parnamirim++pq-das-arvores/
Terceira Divisão de Interlagos; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Terceira Divisao de Interlagos; -23,7176072; -46,6934745; /venda/imoveis/sp+sao-paulo+zona-sul+terceira-divis-de-interlagos/
Vila Quintana; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Quintana; -23,742455; -46,704949; /venda/imoveis/sp+sao-paulo+zona-sul+vl-quintana/
Vila Rubi; ; BR>Sao Paulo>NULL>Sao Jose dos Campos>Barrios>Vila Rubi; -23,2028495; -45,8903046; /venda/imoveis/sp+sao-jose-dos-campos++vl-rubi/
Vila São José; ; BR>Sao Paulo>NULL>Taubate>Barrios>Vila Sao Jose; -23,016287; -45,542886; /venda/imoveis/sp+taubate++vl-s-jose/
Cidade Líder; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Lider; -23,557835; -46,476182; /venda/imoveis/sp+sao-paulo+zona-leste+cid-lider/
Jardim Brasília; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Brasilia; -23,555248; -46,495207; /venda/imoveis/sp+sao-paulo+zona-leste+jd-brasilia/
Jardim Eliane; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Eliane; -23,554607; -46,5036281; /venda/imoveis/sp+sao-paulo+zona-leste+jd-eliane/
Jardim Itapema; ; BR>Rio Grande do Sul>NULL>Viamao>Barrios>Jardim Itapema; -30,0702318; -51,0253672; /venda/imoveis/rs+viamao++jd-itapema/
Jardim Santa Maria; ; BR>Sao Paulo>NULL>Jacarei>Barrios>Jardim Santa Maria; -23,285764; -45,959855; /venda/imoveis/sp+jacarei++jd-sta-maria/
Cidade Líder; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Lider; -23,557835; -46,476182; /venda/imoveis/sp+sao-paulo+zona-leste+cid-lider/
Jardim Marília; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Marilia; -23,557835; -46,476182; /venda/imoveis/sp+sao-paulo+zona-leste+jd-marilia/
