IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio
2489741645; APARTMENT; UNIT; BR; São Paulo; SP; Rua Doutor Tomás Carvalhal; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Paraiso; Paraíso; RESIDENTIAL; 72; 72; Comprar; 650000; 1; 0; 2; 2; 1014
2495488931; APARTMENT; CONDOMINIUM; BR; São Paulo; SP; Rua Doutor Rafael Correia; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Agua Branca; Água Branca; RESIDENTIAL; 0; 151; Comprar; 0; 2; 3; 3; 3; 0
2485225579; APARTMENT; CONDOMINIUM; BR; São Paulo; SP; Rua das Fiandeiras; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Olimpia; Vila Olímpia; RESIDENTIAL; 0; 273; Comprar; 6354911; 5; 3; 3; 3; 0
2456071154; APARTMENT; CONDOMINIUM; BR; São Paulo; SP; Rua Princesa Isabel; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Campo Belo; Campo Belo; RESIDENTIAL; 157; 157; Comprar; 1725000; 2; 3; 3; 3; 0
2494585985; OFFICE; UNIT; BR; São Paulo; SP; Rua Manuel da Nóbrega; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Paraiso; Paraíso; COMMERCIAL; 1700; 1700; Alugar/Comprar; 100000; 25; 1; 10; 1; 0
2487131285; HOME; UNIT; BR; São Paulo; SP; Rua Marquês de Praia Grande; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Prudente; Vila Prudente; RESIDENTIAL; 216; 132; Comprar; 790000; 3; 2; 4; 2; 0
2494752736; APARTMENT; UNIT; BR; São Paulo; SP; Rua Flávio de Melo; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Chacara Klabin; Chácara Klabin; RESIDENTIAL; 65; 65; Comprar; 819000; 2; 1; 2; 2; 0
2495664319; OFFICE; UNIT; BR; São Paulo; SP; Rua Baronesa de Bela Vista; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Congonhas; Vila Congonhas; COMMERCIAL; 31; 31; Alugar/Comprar; 1500; 1; 0; 1; 0; 400
2456470199; APARTMENT; UNIT; BR; São Paulo; SP; Rua Rego Barros; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Vila Formosa; Jardim Vila Formosa; RESIDENTIAL; 50; 50; Comprar; 267300; 1; 0; 1; 2; 0
2491462985; APARTMENT; UNIT; BR; São Paulo; SP; Rua Monjolo; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Freguesia do O; Freguesia do Ó; RESIDENTIAL; 48; 48; Comprar; 310000; 1; 1; 1; 2; 427
2493003240; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Santana; Santana; RESIDENTIAL; 155; 155; Comprar; 800000; 1; 1; 2; 3; 1000
2495673600; HOME; UNIT; BR; São Paulo; SP; Rua Alba; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jabaquara; Jabaquara; RESIDENTIAL; 98; 57; Comprar; 410000; 1; 0; 1; 2; 400
2489741645; APARTMENT; UNIT; BR; São Paulo; SP; Rua Doutor Tomás Carvalhal; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Paraiso; Paraíso; RESIDENTIAL; 72; 72; Comprar; 650000; 1; 0; 2; 2; 1014
2491110022; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Mofarrej; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Leopoldina; Vila Leopoldina; RESIDENTIAL; 70; 70; Comprar; 630000; 2; 1; 1; 2; 550
2209575811; APARTMENT; UNIT; BR; São Paulo; SP; Rua Doutor Luiz Migliano; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Morumbi; Morumbi; RESIDENTIAL; 110; 110; Comprar; 595000; 2; 1; 2; 3; 600
2485594105; APARTMENT; UNIT; BR; São Paulo; SP; Rua Professor Campos de Oliveira; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Marajoara; Jardim Marajoara; RESIDENTIAL; 266; 266; Comprar; 1750000; 4; 4; 6; 4; 1750
2472725882; OFFICE; UNIT; BR; São Paulo; SP; Rua Lubavitch; BR>Sao Paulo>NULL>Sao Paulo>Centro>Bom Retiro; Bom Retiro; COMMERCIAL; 30; 30; Comprar; 115000; 0; 0; 1; 0; 501
2472722891; OFFICE; UNIT; BR; São Paulo; SP; Rua Lubavitch; BR>Sao Paulo>NULL>Sao Paulo>Centro>Bom Retiro; Bom Retiro; COMMERCIAL; 30; 30; Comprar; 115000; 0; 0; 1; 0; 501
2485392811; APARTMENT; UNIT; BR; São Paulo; SP; Rua David Ben Gurion; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Monte Kemel; Jardim Monte Kemel; RESIDENTIAL; 89; 89; Comprar; 426000; 2; 1; 2; 2; 1249
2489104180; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Sao Sebastiao; Jardim Sao Sebastiao; RESIDENTIAL; 125; 190; Comprar; 350000; 1; 0; 4; 3; 0
