IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2493008501; HOME; UNIT; BR; Jundiaí; SP; ; BR>Sao Paulo>NULL>Jundiai>Barrios>Jardim Anhanguera; Jardim Anhangüera; RESIDENTIAL; 120; 120; Comprar; 320000; 2; 1; 2; 2; 0; 13200000; CasaJd. Anhanguera sendo,2 dormitórios, (1 suite)wccom box de vidro, sala, cozinha, wc social, área de serviço, 02 vagas de garagem coberta. Próximo a Av. Nove de Julho e fácil acesso as rodovias Anhanguera e Bandeirantes. Doc. OK, AT 135m²;; BS:KM54<, BS:KM54>, TS:Ponto de Onibus Itupeva/Cabreuva, CS:régis, CH:Renova Pele
2499608682; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Jundiaí; SP; ; BR>Sao Paulo>NULL>Jundiai>Barrios>Jardim Anhanguera; Jardim Anhangüera; RESIDENTIAL; 76336; 76336; Comprar; 26717600; 0; 0; 0; 0; 0; 13208401; Vende-se Área Industrial/Logística;<br>em local nobre na cidade de Jundiaí/SP, as margens da Rodovia Anhanguera, ao lado do Centro de Distribuição da Casas Bahia, na altura no KM 57.<br><br>Excelente logística, acesso fácil a Rodovia dos Bandeirantes, cerca de 23 Km do Rodoanel, acesso fácil para as principais Rodovias que Interligam o país.<br><br>Documentação OK!<br><br>Agende sua Visita!!! -; BS:KM54<, BS:KM54>, TS:Ponto de Onibus Itupeva/Cabreuva, CS:régis, CH:Renova Pele
2476386111; APARTMENT; UNIT; BR; Jundiaí; SP; Rua João Debroi; BR>Sao Paulo>NULL>Jundiai>Barrios>Jardim Anhanguera; Jardim Anhangüera; RESIDENTIAL; 128; 128; Comprar; 1158000; 2; 2; 3; 3; 800; 13208500; APARTAMENTO NO CONDOMÍNIO ALTA VISTA - ANHANGABAÚ - JUNDIAÍ. Apartamento com 03 dormitórios sendo 02 suítes, lavabo, sala 03 ambientes, cozinha, área de serviço, terraço técnico, terraço gourmet e depósito privativo. ACEITA FINANCIAMENTO. NÃO ACEITA PERMUTA. O Alta Vista Jundiaí trouxe uma nova tendência de morar que se tornou realidade e conquistou Jundiaí. Um autêntico bairro planejado, com condomínios de apartamentos cercados pelo verde, com infraestrutura completa e dupla segurança: portarias na entrada do bairro e no acesso aos condomínios. Em plena Av. 9 de Junho, traz toda comodidade e prestígio de viver ao lado do Jundiaí Shopping. Com plantas modernas e inteligentes e terraço gourmet integrado ao living e à cozinha, o Alta Vista apresenta o inovador conceito de casas suspensas. A sensação de viver em uma casa com a segurança de um apartamento.; BS:KM54<, BS:KM54>, TS:Ponto de Onibus Itupeva/Cabreuva, CS:régis, CH:Renova Pele
